ticker,price,market_cap,pe,dividend_yield,profit_margin,revenue_growth,roe,beta
MMM,157.7,82251153408.0,30.385355,1.98,0.11137,0.013,0.71458,1.081
AOS,59.53,8204937728.0,15.874666,2.39,0.13841,-0.019,0.28267,1.153
ABT,92.11,160438403072.0,26.317142,2.68,0.13904999,0.078,0.123339996,0.607
ABBV,248.0,438164619264.0,122.16749,2.79,0.05786,0.124,,0.283
ACN,138.52,84766220288.0,11.063898,4.82,0.10656,0.056,0.24406,1.122
ADBE,230.61,91667472384.0,13.192792,,0.28689,0.127,0.62953997,1.433
AMD,534.39,871376683008.0,177.53821,,0.13374,0.378,0.08063,2.469
AES,14.76,10526208000.0,7.6875005,4.77,0.10819,0.087,0.052600004,0.942
AFL,123.3,62757838848.0,14.091429,1.98,0.25596002,0.279,0.16469,0.603
A,134.04,37857173504.0,26.969818,0.76,0.19552,0.1,0.21330999,1.255
APD,301.96,67240656896.0,31.852322,2.4,0.16906999,0.088,0.12353,0.736
ABNB,146.33,86847569920.0,36.041874,,0.19902,0.179,0.32325,1.143
AKAM,125.13,18192080896.0,42.131313,,0.102,0.058,0.091680005,0.633
ALB,125.79,14834999296.0,,1.29,-0.042379998,0.327,-0.0182,1.346
ARE,48.08,8378876416.0,,6.02,-0.36141,-0.115,-0.04144,1.183
ALGN,180.59,12933517312.0,30.402355,,0.10496,0.062,0.10824,1.669
ALLE,136.36,11718214656.0,18.628414,1.55,0.15237,0.097,0.34179002,0.858
LNT,76.63,19791769600.0,24.097483,2.72,0.18583,0.05,0.113120005,0.54
ALL,256.45,66015600640.0,5.6749287,1.72,0.17813,0.03,0.45221,0.166
GOOGL,352.51,4301529022464.0,26.888636,0.25,0.37919,0.218,0.38884997,1.247
GOOG,350.67,4279076388864.0,26.727898,0.25,0.37919,0.218,0.38884997,1.247
MO,71.87,120015085568.0,15.004176,5.9,0.39518002,0.053,,0.494
AMZN,247.31,2660340858880.0,29.547192,,0.12224,0.166,0.24285,1.461
AMCR,42.43,19617327104.0,34.217743,6.13,0.030550001,0.774,0.08737001,0.614
AEE,113.43,31391936512.0,20.40108,2.66,0.17834999,0.037,0.117469996,0.481
